city,country,id,latitude,longitude,state
Verwaltungsgemeinschaft Limbach,Deutschland,117626.0,49.45513,9.247109,Baden-Württemberg
Lünen,Deutschland,2594197.0,51.588936,7.539947,Nordrhein-Westfalen
Verwaltungsverband Flein-Talheim,Deutschland,823687.0,49.10175,9.213056,Baden-Württemberg
Berlin,Deutschland,2509734.0,52.47166,13.320837,Berlin
VVG der Stadt Emmendingen,Deutschland,2143050.0,48.11594,7.859754,Baden-Württemberg
Verwaltungsgemeinschaft Überlingen,Deutschland,2221486.0,47.754222,9.189806,Baden-Württemberg
Bernburg,Deutschland,1701889.0,51.793633,11.741068,Sachsen-Anhalt
Wentorf bei Hamburg,Deutschland,2034010.0,53.48884,10.27162,Schleswig-Holstein
Ober-Ramstadt,Deutschland,2302334.0,49.827341,8.746605,Hessen
Dresden,Deutschland,291782.0,51.115775,13.789639,Sachsen
Seevetal,Deutschland,1378378.0,53.401446,9.974645,Niedersachsen
Wandlitz,Deutschland,1676945.0,52.756007,13.473018,Brandenburg
Dresden,Deutschland,636708.0,51.126239,13.74624,Sachsen
Menhofen,Deutschland,1629601.0,47.92951,10.86303,Bayern
Verwaltungsgemeinschaft Konstanz,Deutschland,1717036.0,47.675733,9.152839,Baden-Württemberg
,,881552.0,0.0,0.0,
Vereinbarte Verwaltungsgemeinschaft der Stadt Uhingen,Deutschland,1977131.0,48.706912,9.610584,Baden-Württemberg
Görlitz,Deutschland,1502063.0,51.18357,14.962735,Sachsen
Bruchköbel,Deutschland,491660.0,50.178558,8.918205,Hessen
Dortmund,Deutschland,750912.0,51.52445,7.509636,Nordrhein-Westfalen
Weißenberg,Deutschland,1235.0,51.197025,14.658878,Sachsen
Rhede (Ems),Deutschland,2473872.0,53.068499,7.242647,Niedersachsen
Königstein/Sächs. Schw.,Deutschland,2344443.0,50.956034,14.079162,Sachsen
Dresden,Deutschland,1933843.0,51.08126,13.71691,Sachsen
Magdeburg,Deutschland,1507339.0,52.199092,11.672448,Sachsen-Anhalt
Rinteln,Deutschland,2129338.0,52.188611,9.079167,Niedersachsen
Raunheim,Deutschland,1266820.0,50.00831,8.449129,Hessen
Samtgemeinde Bevensen-Ebstorf,Deutschland,2046737.0,53.086891,10.594502,Niedersachsen
Friesendorf,Deutschland,1366917.0,50.223605,11.052031,Bayern
Altenahr,Deutschland,1521869.0,50.516849,7.019092,Rheinland-Pfalz
Düsseldorf,Deutschland,864326.0,51.225076,6.784315,Nordrhein-Westfalen
Espoo,Suomi / Finland,2224021.0,60.157435,24.759808,Espoo
Vilshofen an der Donau,Deutschland,1214572.0,48.630374,13.1899,Bayern
Pfaffenhofen,Deutschland,1194382.0,49.369263,11.679577,Bayern
Berlin,Deutschland,2321348.0,52.453396,13.519075,Berlin
Dresden,Deutschland,1178724.0,51.002712,13.787684,Sachsen
Böblingen,Deutschland,326282.0,48.68621,9.00674,Baden-Württemberg
Sindelfingen,Deutschland,1426866.0,48.701602,8.981642,Baden-Württemberg
Marsberg,Deutschland,1513505.0,51.459439,8.853135,Nordrhein-Westfalen
Bertsdorf-Hörnitz,Deutschland,2362879.0,50.893072,14.806604,Sachsen
Pirna,Deutschland,862827.0,50.944368,13.943093,Sachsen
Kappeln,Deutschland,607975.0,54.663854,10.021253,Schleswig-Holstein
Samtgemeinde Brookmerland,Deutschland,1266338.0,53.52007,7.2778,Niedersachsen
Stuttgart,Deutschland,2609748.0,48.800229,9.22732,Baden-Württemberg
Leipzig,Deutschland,1211161.0,51.405446,12.45351,Sachsen
Dillenburg,Deutschland,508178.0,50.75099,8.27708,Hessen
Fellbach,Deutschland,2447764.0,48.812308,9.266792,Baden-Württemberg
Grünstadt,Deutschland,366634.0,49.556623,8.18118,Rheinland-Pfalz
Eschborn,Deutschland,863905.0,50.141066,8.582339,Hessen
Dresden,Deutschland,658126.0,51.061236,13.885297,Sachsen
Stadthagen,Deutschland,1211461.0,52.308457,9.175594,Niedersachsen
Amt Kellinghusen,Deutschland,1273423.0,53.948154,9.719436,Schleswig-Holstein
Schwerte,Deutschland,2398659.0,51.42461,7.57811,Nordrhein-Westfalen
Mitterfelden,Deutschland,1592268.0,47.816343,12.941384,Bayern
Gelsenkirchen,Deutschland,871616.0,51.595557,7.056811,Nordrhein-Westfalen
Verwaltungsverband Immendingen-Geisingen,Deutschland,1142010.0,47.925473,8.745207,Baden-Württemberg
Artland,Deutschland,1271344.0,52.670471,7.92598,Niedersachsen
Stuttgart,Deutschland,2199673.0,48.724513,9.121251,Baden-Württemberg
Dresden,Deutschland,631204.0,51.026057,13.720712,Sachsen
